,title,genres
229,"I, Robot","Action, Science Fiction"
230,No Country for Old Men,"Crime, Drama, Thriller"
231,Rise of the Planet of the Apes,"Thriller, Action, Drama, Science Fiction"
232,Ocean's Eleven,"Thriller, Crime"
233,The Sixth Sense,"Mystery, Thriller, Drama"
234,Amélie,"Comedy, Romance"
235,Scarface,"Action, Crime, Drama"
236,Prisoners,"Drama, Thriller, Crime"
237,American History X,Drama
238,The Conjuring,"Horror, Thriller"
239,The Fault in Our Stars,"Romance, Drama"
240,The Notebook,"Romance, Drama"
241,12 Years a Slave,"Drama, History"
242,2001: A Space Odyssey,"Science Fiction, Mystery, Adventure"
243,In Time,"Action, Thriller, Science Fiction"
244,Aladdin,"Animation, Family, Adventure, Fantasy, Romance"
245,Green Book,"Drama, Comedy"
246,Tangled,"Animation, Family"
247,Cast Away,"Adventure, Drama"
248,X-Men,"Adventure, Action, Science Fiction"
249,Despicable Me 2,"Animation, Comedy, Family"
250,Kung Fu Panda,"Action, Adventure, Animation, Family, Comedy"
251,Transformers,"Adventure, Science Fiction, Action"
252,E.T. the Extra-Terrestrial,"Science Fiction, Adventure, Family, Fantasy"
253,Taken,"Action, Thriller"
254,Jurassic World: Fallen Kingdom,"Action, Adventure, Science Fiction, Thriller"
255,The Big Lebowski,"Comedy, Crime"
256,Dawn of the Planet of the Apes,"Science Fiction, Action, Drama, Thriller"
257,Dead Poets Society,Drama
258,Your Name.,"Romance, Animation, Drama"
259,Fantastic Beasts: The Crimes of Grindelwald,"Fantasy, Adventure, Family"
260,Die Hard,"Action, Thriller"
261,Now You See Me 2,"Crime, Thriller, Action, Mystery"
262,Home Alone,"Comedy, Family"
263,The Matrix Reloaded,"Adventure, Action, Thriller, Science Fiction"
264,Madagascar,"Family, Animation, Adventure, Comedy"
265,The Theory of Everything,"Drama, Romance"
266,Nightcrawler,"Crime, Drama, Thriller"
267,Fast & Furious 6,"Action, Thriller, Crime"
268,Oblivion,"Action, Science Fiction, Adventure, Mystery"
269,Bruce Almighty,"Fantasy, Comedy"
270,Gran Torino,Drama
271,Furious 7,"Action, Thriller, Crime"
272,Minions,"Family, Animation, Adventure, Comedy"
273,Casino Royale,"Adventure, Action, Thriller"
274,The Fifth Element,"Adventure, Fantasy, Action, Thriller, Science Fiction"
275,Slumdog Millionaire,"Drama, Romance"
276,Monsters University,"Animation, Family"
277,Limitless,"Thriller, Mystery, Science Fiction"
278,Spectre,"Action, Adventure, Thriller"
279,The Perks of Being a Wallflower,Drama
280,Pan's Labyrinth,"Fantasy, Drama, War"
281,Jumanji,"Adventure, Fantasy, Family"
282,Avatar: The Way of Water,"Science Fiction, Adventure, Action"
283,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","Adventure, Family, Fantasy"
284,X-Men Origins: Wolverine,"Adventure, Action, Thriller, Science Fiction"
285,American Psycho,"Thriller, Drama, Crime"
286,The Hangover Part II,Comedy
287,Sherlock Holmes: A Game of Shadows,"Adventure, Action, Crime, Mystery"
288,The Fate of the Furious,"Action, Crime, Thriller"
289,John Wick: Chapter 3 - Parabellum,"Action, Thriller, Crime"
290,Kong: Skull Island,"Action, Adventure, Fantasy"
291,Back to the Future Part III,"Adventure, Comedy, Science Fiction"
292,Men in Black 3,"Action, Comedy, Science Fiction"
293,Maze Runner: The Scorch Trials,"Science Fiction, Action, Thriller, Adventure"
294,Full Metal Jacket,"Drama, War"
